acceleration - x: 0.0738372802734375, y: 0.2382049560546875, z: -0.959320068359375
session state change to: 2 from 1
acceleration - x: 0.0600128173828125, y: 0.18719482421875, z: -0.986083984375
acceleration - x: 0.09307861328125, y: 0.1628570556640625, z: -0.97601318359375
acceleration - x: 0.09307861328125, y: 0.1628570556640625, z: -0.97601318359375
acceleration - x: 0.093414306640625, y: 0.1728973388671875, z: -0.978363037109375
acceleration - x: 0.1022796630859375, y: 0.1779327392578125, z: -0.9731903076171875
acceleration - x: 0.105621337890625, y: 0.1669921875, z: -0.97412109375
acceleration - x: 0.105621337890625, y: 0.1669921875, z: -0.97412109375
acceleration - x: 0.1083984375, y: 0.1878204345703125, z: -0.9770965576171875
acceleration - x: 0.1003265380859375, y: 0.1667022705078125, z: -0.9785919189453125
acceleration - x: 0.100677490234375, y: 0.1725006103515625, z: -0.974945068359375
acceleration - x: 0.100677490234375, y: 0.1725006103515625, z: -0.974945068359375
acceleration - x: 0.104156494140625, y: 0.163330078125, z: -0.975311279296875
acceleration - x: 0.1074981689453125, y: 0.1695098876953125, z: -0.976806640625
acceleration - x: 0.105499267578125, y: 0.1689300537109375, z: -0.9771728515625
acceleration - x: 0.103973388671875, y: 0.16729736328125, z: -0.9723358154296875
acceleration - x: 0.10174560546875, y: 0.1738739013671875, z: -0.9766693115234375
acceleration - x: 0.10321044921875, y: 0.177520751953125, z: -0.974945068359375
acceleration - x: 0.102752685546875, y: 0.173797607421875, z: -0.977874755859375
acceleration - x: 0.1053619384765625, y: 0.1641998291015625, z: -0.976287841796875
acceleration - x: 0.1056060791015625, y: 0.1669921875, z: -0.97369384765625
acceleration - x: 0.100372314453125, y: 0.1654052734375, z: -0.9744873046875
acceleration - x: 0.1011962890625, y: 0.1800994873046875, z: -0.9844818115234375
acceleration - x: 0.1044158935546875, y: 0.1788482666015625, z: -0.970733642578125
acceleration - x: 0.10089111328125, y: 0.1627655029296875, z: -0.974578857421875
acceleration - x: 0.106109619140625, y: 0.1707000732421875, z: -0.9741363525390625
acceleration - x: 0.104522705078125, y: 0.1818084716796875, z: -0.9763336181640625
acceleration - x: 0.1021728515625, y: 0.1742706298828125, z: -0.9739837646484375
acceleration - x: 0.1037445068359375, y: 0.168304443359375, z: -0.976104736328125
acceleration - x: 0.102569580078125, y: 0.175201416015625, z: -0.9756317138671875
acceleration - x: 0.104583740234375, y: 0.17852783203125, z: -0.9771575927734375
acceleration - x: 0.1048126220703125, y: 0.1709136962890625, z: -0.9741973876953125
acceleration - x: 0.103546142578125, y: 0.1612548828125, z: -0.9709625244140625
acceleration - x: 0.1024322509765625, y: 0.16766357421875, z: -0.976898193359375
acceleration - x: 0.103668212890625, y: 0.1737213134765625, z: -0.9766845703125
acceleration - x: 0.1038055419921875, y: 0.174285888671875, z: -0.9759979248046875
acceleration - x: 0.104583740234375, y: 0.1640777587890625, z: -0.97509765625
acceleration - x: 0.1031494140625, y: 0.1705169677734375, z: -0.97601318359375
acceleration - x: 0.1069488525390625, y: 0.1750335693359375, z: -0.97430419921875
acceleration - x: 0.1043701171875, y: 0.1662445068359375, z: -0.973480224609375
acceleration - x: 0.102630615234375, y: 0.16009521484375, z: -0.9756011962890625
acceleration - x: 0.1038055419921875, y: 0.1685791015625, z: -0.98095703125
acceleration - x: 0.1019744873046875, y: 0.1783905029296875, z: -0.9755401611328125
acceleration - x: 0.1048126220703125, y: 0.167633056640625, z: -0.9731903076171875
acceleration - x: 0.104400634765625, y: 0.1625213623046875, z: -0.973602294921875
acceleration - x: 0.1063995361328125, y: 0.171630859375, z: -0.9722442626953125
acceleration - x: 0.10406494140625, y: 0.1737823486328125, z: -0.980194091796875
acceleration - x: 0.1044158935546875, y: 0.174896240234375, z: -0.975677490234375
acceleration - x: 0.1045074462890625, y: 0.169189453125, z: -0.9725799560546875
acceleration - x: 0.1057281494140625, y: 0.16668701171875, z: -0.9771881103515625
acceleration - x: 0.102752685546875, y: 0.1767120361328125, z: -0.97796630859375
acceleration - x: 0.1058502197265625, y: 0.175811767578125, z: -0.973480224609375
acceleration - x: 0.10589599609375, y: 0.1701507568359375, z: -0.977325439453125
acceleration - x: 0.10357666015625, y: 0.16387939453125, z: -0.9728240966796875
acceleration - x: 0.1067962646484375, y: 0.1687774658203125, z: -0.9750518798828125
acceleration - x: 0.1043853759765625, y: 0.1772918701171875, z: -0.9766998291015625
acceleration - x: 0.102294921875, y: 0.1743011474609375, z: -0.9771881103515625
acceleration - x: 0.1031494140625, y: 0.16827392578125, z: -0.9749603271484375
acceleration - x: 0.1042022705078125, y: 0.1682586669921875, z: -0.9754791259765625
acceleration - x: 0.1069183349609375, y: 0.1713714599609375, z: -0.9717254638671875
acceleration - x: 0.106353759765625, y: 0.16778564453125, z: -0.9742584228515625
acceleration - x: 0.104095458984375, y: 0.170440673828125, z: -0.9786224365234375
acceleration - x: 0.104095458984375, y: 0.170440673828125, z: -0.9786224365234375
acceleration - x: 0.103729248046875, y: 0.167388916015625, z: -0.97705078125
acceleration - x: 0.1086273193359375, y: 0.1684417724609375, z: -0.97540283203125
acceleration - x: 0.1053009033203125, y: 0.168670654296875, z: -0.9756317138671875
acceleration - x: 0.1053009033203125, y: 0.168670654296875, z: -0.9756317138671875
acceleration - x: 0.10455322265625, y: 0.1709747314453125, z: -0.9788818359375
acceleration - x: 0.102020263671875, y: 0.1735687255859375, z: -0.9744415283203125
acceleration - x: 0.10443115234375, y: 0.169403076171875, z: -0.9795379638671875
acceleration - x: 0.105438232421875, y: 0.164093017578125, z: -0.972412109375
acceleration - x: 0.1025238037109375, y: 0.1661834716796875, z: -0.97552490234375
acceleration - x: 0.1042938232421875, y: 0.168792724609375, z: -0.976837158203125
acceleration - x: 0.1049957275390625, y: 0.1700897216796875, z: -0.9741363525390625
acceleration - x: 0.1055755615234375, y: 0.17279052734375, z: -0.978118896484375
acceleration - x: 0.1031036376953125, y: 0.1680145263671875, z: -0.9740142822265625
acceleration - x: 0.1033935546875, y: 0.1669158935546875, z: -0.9757537841796875
acceleration - x: 0.1057586669921875, y: 0.1724700927734375, z: -0.9728546142578125
acceleration - x: 0.103759765625, y: 0.1722869873046875, z: -0.9766845703125
acceleration - x: 0.1050567626953125, y: 0.1689453125, z: -0.9745635986328125
acceleration - x: 0.103240966796875, y: 0.1666412353515625, z: -0.975067138671875
acceleration - x: 0.10394287109375, y: 0.1707763671875, z: -0.9745941162109375
acceleration - x: 0.1053009033203125, y: 0.1749267578125, z: -0.9757537841796875
acceleration - x: 0.1041107177734375, y: 0.1720428466796875, z: -0.9785614013671875
acceleration - x: 0.10076904296875, y: 0.169952392578125, z: -0.97308349609375
acceleration - x: 0.107177734375, y: 0.1710357666015625, z: -0.9772186279296875
acceleration - x: 0.1055755615234375, y: 0.1692962646484375, z: -0.9736328125
acceleration - x: 0.1015777587890625, y: 0.1689605712890625, z: -0.97650146484375
acceleration - x: 0.1055450439453125, y: 0.167236328125, z: -0.9741363525390625
acceleration - x: 0.1058502197265625, y: 0.167236328125, z: -0.976776123046875
acceleration - x: 0.1042022705078125, y: 0.1714324951171875, z: -0.973846435546875
acceleration - x: 0.104888916015625, y: 0.1703948974609375, z: -0.977508544921875
acceleration - x: 0.1057281494140625, y: 0.167633056640625, z: -0.9736480712890625
acceleration - x: 0.1038970947265625, y: 0.170318603515625, z: -0.9759979248046875
acceleration - x: 0.1047821044921875, y: 0.166595458984375, z: -0.9721832275390625
acceleration - x: 0.10394287109375, y: 0.1685943603515625, z: -0.9779052734375
acceleration - x: 0.103668212890625, y: 0.1718902587890625, z: -0.9731292724609375
acceleration - x: 0.1044158935546875, y: 0.1663665771484375, z: -0.9790191650390625
acceleration - x: 0.10357666015625, y: 0.1705322265625, z: -0.97509765625
acceleration - x: 0.1074981689453125, y: 0.171630859375, z: -0.9772491455078125
acceleration - x: 0.107147216796875, y: 0.1754913330078125, z: -0.97528076171875
acceleration - x: 0.1017303466796875, y: 0.1698760986328125, z: -0.9733123779296875
acceleration - x: 0.101470947265625, y: 0.1646881103515625, z: -0.9774322509765625
acceleration - x: 0.1028289794921875, y: 0.1715850830078125, z: -0.97467041015625
acceleration - x: 0.1038970947265625, y: 0.173797607421875, z: -0.975921630859375
acceleration - x: 0.106658935546875, y: 0.1671142578125, z: -0.974853515625
acceleration - x: 0.1046295166015625, y: 0.17108154296875, z: -0.9737548828125
acceleration - x: 0.1029052734375, y: 0.171783447265625, z: -0.977142333984375
acceleration - x: 0.1071929931640625, y: 0.16790771484375, z: -0.975311279296875
acceleration - x: 0.10443115234375, y: 0.1671295166015625, z: -0.97540283203125
acceleration - x: 0.104339599609375, y: 0.1703643798828125, z: -0.97705078125
acceleration - x: 0.1066741943359375, y: 0.1730499267578125, z: -0.9724273681640625
acceleration - x: 0.10162353515625, y: 0.1666412353515625, z: -0.9778900146484375
acceleration - x: 0.102630615234375, y: 0.166015625, z: -0.973358154296875
acceleration - x: 0.104156494140625, y: 0.17388916015625, z: -0.97601318359375
acceleration - x: 0.1032867431640625, y: 0.169464111328125, z: -0.9765777587890625
acceleration - x: 0.107696533203125, y: 0.171417236328125, z: -0.976287841796875
acceleration - x: 0.1062469482421875, y: 0.1755218505859375, z: -0.9735870361328125
acceleration - x: 0.104644775390625, y: 0.17333984375, z: -0.9752655029296875
acceleration - x: 0.104217529296875, y: 0.1670684814453125, z: -0.974365234375
acceleration - x: 0.1050872802734375, y: 0.1669769287109375, z: -0.9744873046875
acceleration - x: 0.1036529541015625, y: 0.168853759765625, z: -0.9765777587890625
acceleration - x: 0.104522705078125, y: 0.1728515625, z: -0.9745025634765625
acceleration - x: 0.1053619384765625, y: 0.1718292236328125, z: -0.9739837646484375
acceleration - x: 0.1053619384765625, y: 0.1718292236328125, z: -0.9739837646484375
acceleration - x: 0.107208251953125, y: 0.172515869140625, z: -0.9741058349609375
acceleration - x: 0.103179931640625, y: 0.1684722900390625, z: -0.971588134765625
acceleration - x: 0.103179931640625, y: 0.1684722900390625, z: -0.971588134765625
acceleration - x: 0.10223388671875, y: 0.1654205322265625, z: -0.976837158203125
acceleration - x: 0.103607177734375, y: 0.1727294921875, z: -0.9745635986328125
acceleration - x: 0.103607177734375, y: 0.1727294921875, z: -0.9745635986328125
acceleration - x: 0.1037750244140625, y: 0.1691131591796875, z: -0.97320556640625
acceleration - x: 0.103485107421875, y: 0.1689300537109375, z: -0.9720001220703125
acceleration - x: 0.103485107421875, y: 0.1689300537109375, z: -0.9720001220703125
acceleration - x: 0.10443115234375, y: 0.176971435546875, z: -0.977142333984375
acceleration - x: 0.1042022705078125, y: 0.1745758056640625, z: -0.97357177734375
acceleration - x: 0.1042022705078125, y: 0.1745758056640625, z: -0.97357177734375
acceleration - x: 0.1042938232421875, y: 0.1703338623046875, z: -0.9732666015625
acceleration - x: 0.1046905517578125, y: 0.17279052734375, z: -0.975341796875
acceleration - x: 0.1047821044921875, y: 0.1705474853515625, z: -0.9772796630859375
acceleration - x: 0.103759765625, y: 0.1707305908203125, z: -0.9734344482421875
acceleration - x: 0.1027984619140625, y: 0.167724609375, z: -0.973541259765625
acceleration - x: 0.104248046875, y: 0.1724090576171875, z: -0.977203369140625
acceleration - x: 0.10467529296875, y: 0.173065185546875, z: -0.9789276123046875
acceleration - x: 0.10467529296875, y: 0.173065185546875, z: -0.9789276123046875
acceleration - x: 0.1019744873046875, y: 0.17303466796875, z: -0.9693450927734375
