acceleration - x: -0.9827423095703125, y: 0.0222015380859375, z: -0.0941009521484375
session state change to: 2 from 1
acceleration - x: -0.988037109375, y: 0.046783447265625, z: -0.096435546875
acceleration - x: -0.9912109375, y: 0.0611572265625, z: -0.099578857421875
acceleration - x: -0.9890289306640625, y: 0.0486297607421875, z: -0.09881591796875
acceleration - x: -0.985198974609375, y: 0.042938232421875, z: -0.0959014892578125
acceleration - x: -0.9918670654296875, y: 0.0553436279296875, z: -0.1002349853515625
acceleration - x: -0.98675537109375, y: 0.0499114990234375, z: -0.0980377197265625
acceleration - x: -0.982818603515625, y: 0.03558349609375, z: -0.09716796875
acceleration - x: -0.9949493408203125, y: 0.045745849609375, z: -0.096099853515625
acceleration - x: -0.9860382080078125, y: 0.0478668212890625, z: -0.0971221923828125
acceleration - x: -0.9888458251953125, y: 0.0503692626953125, z: -0.09326171875
acceleration - x: -0.990325927734375, y: 0.042999267578125, z: -0.0972900390625
acceleration - x: -0.9803466796875, y: 0.0346832275390625, z: -0.099609375
acceleration - x: -0.9900665283203125, y: 0.0478668212890625, z: -0.1080474853515625
acceleration - x: -0.99005126953125, y: 0.0577545166015625, z: -0.11248779296875
acceleration - x: -0.9793701171875, y: 0.0448760986328125, z: -0.1063385009765625
acceleration - x: -0.9905242919921875, y: 0.0428619384765625, z: -0.100128173828125
acceleration - x: -0.992919921875, y: 0.051422119140625, z: -0.099578857421875
acceleration - x: -0.9829254150390625, y: 0.0489959716796875, z: -0.0973052978515625
acceleration - x: -0.989288330078125, y: 0.051544189453125, z: -0.100006103515625
acceleration - x: -0.989288330078125, y: 0.051544189453125, z: -0.100006103515625
acceleration - x: -0.9867095947265625, y: 0.051910400390625, z: -0.101776123046875
acceleration - x: -0.98712158203125, y: 0.04266357421875, z: -0.100341796875
acceleration - x: -0.987640380859375, y: 0.038360595703125, z: -0.0977935791015625
acceleration - x: -0.987640380859375, y: 0.038360595703125, z: -0.0977935791015625
acceleration - x: -0.986328125, y: 0.04052734375, z: -0.09552001953125
acceleration - x: -0.98834228515625, y: 0.056549072265625, z: -0.09881591796875
acceleration - x: -0.9878387451171875, y: 0.0527496337890625, z: -0.0935211181640625
acceleration - x: -0.9878387451171875, y: 0.0527496337890625, z: -0.0935211181640625
acceleration - x: -0.98895263671875, y: 0.0441741943359375, z: -0.1037445068359375
acceleration - x: -0.9851531982421875, y: 0.049530029296875, z: -0.103729248046875
acceleration - x: -0.989105224609375, y: 0.043243408203125, z: -0.09600830078125
acceleration - x: -0.9889068603515625, y: 0.0360107421875, z: -0.099945068359375
acceleration - x: -0.9849700927734375, y: 0.04443359375, z: -0.1013641357421875
acceleration - x: -0.9913177490234375, y: 0.0529937744140625, z: -0.1018524169921875
acceleration - x: -0.9869232177734375, y: 0.046051025390625, z: -0.100006103515625
acceleration - x: -0.989471435546875, y: 0.0471038818359375, z: -0.098419189453125
acceleration - x: -0.98797607421875, y: 0.0502777099609375, z: -0.0975189208984375
acceleration - x: -0.9884185791015625, y: 0.0505523681640625, z: -0.0933990478515625
acceleration - x: -0.9880218505859375, y: 0.0425567626953125, z: -0.096160888671875
acceleration - x: -0.987640380859375, y: 0.0511016845703125, z: -0.1019287109375
acceleration - x: -0.9864501953125, y: 0.054718017578125, z: -0.1043548583984375
acceleration - x: -0.9844970703125, y: 0.051055908203125, z: -0.1040191650390625
acceleration - x: -0.9885711669921875, y: 0.0529937744140625, z: -0.1088409423828125
acceleration - x: -0.9847869873046875, y: 0.0503387451171875, z: -0.1041717529296875
acceleration - x: -0.9857025146484375, y: 0.037872314453125, z: -0.1012725830078125
acceleration - x: -0.9906158447265625, y: 0.0429534912109375, z: -0.10089111328125
acceleration - x: -0.98675537109375, y: 0.0517425537109375, z: -0.1024322509765625
