session state change to: 2 from 1
acceleration - x: 0.0194091796875, y: 0.0729827880859375, z: -0.9942779541015625
acceleration - x: 4.57763671875e-05, y: 0.107177734375, z: -0.9989471435546875
acceleration - x: -0.001434326171875, y: 0.07354736328125, z: -0.9822235107421875
acceleration - x: -0.001434326171875, y: 0.07354736328125, z: -0.9822235107421875
acceleration - x: 0.0076141357421875, y: 0.0833740234375, z: -0.9853668212890625
acceleration - x: 0.01513671875, y: 0.0950164794921875, z: -0.9881439208984375
acceleration - x: 0.0115509033203125, y: 0.106414794921875, z: -0.993377685546875
acceleration - x: 0.0168609619140625, y: 0.0997161865234375, z: -0.9929351806640625
acceleration - x: 0.0168609619140625, y: 0.0997161865234375, z: -0.9929351806640625
acceleration - x: 0.008026123046875, y: 0.09857177734375, z: -0.9938201904296875
acceleration - x: -7.62939453125e-05, y: 0.099884033203125, z: -0.986297607421875
acceleration - x: 0.004608154296875, y: 0.114471435546875, z: -0.9916534423828125
acceleration - x: 0.0083465576171875, y: 0.0968475341796875, z: -0.985382080078125
acceleration - x: 0.0171966552734375, y: 0.090545654296875, z: -0.992401123046875
acceleration - x: 0.021942138671875, y: 0.1015167236328125, z: -0.996734619140625
acceleration - x: 0.0110321044921875, y: 0.09393310546875, z: -0.9948272705078125
acceleration - x: 0.0058441162109375, y: 0.091064453125, z: -0.9865570068359375
acceleration - x: 0.003326416015625, y: 0.0954437255859375, z: -0.9929962158203125
acceleration - x: 0.0045013427734375, y: 0.0888519287109375, z: -0.9895782470703125
acceleration - x: 0.0045166015625, y: 0.1011199951171875, z: -0.9951019287109375
acceleration - x: 0.0069732666015625, y: 0.0945281982421875, z: -0.9906768798828125
acceleration - x: 0.0118408203125, y: 0.103607177734375, z: -0.9935760498046875
acceleration - x: 0.011749267578125, y: 0.1017913818359375, z: -0.98846435546875
acceleration - x: 0.0146026611328125, y: 0.1221160888671875, z: -1.0149078369140625
acceleration - x: 0.0213623046875, y: 0.1244659423828125, z: -1.023773193359375
acceleration - x: 0.02667236328125, y: 0.0740814208984375, z: -1.0218658447265625
acceleration - x: 0.050811767578125, y: 0.0512237548828125, z: -1.0196075439453125
acceleration - x: 0.0090179443359375, y: 0.04217529296875, z: -1.023101806640625
acceleration - x: -0.008941650390625, y: 0.0245513916015625, z: -1.0281219482421875
acceleration - x: 0.072021484375, y: -0.0024871826171875, z: -1.1179962158203125
acceleration - x: 0.0965423583984375, y: 0.0355987548828125, z: -1.210479736328125
acceleration - x: 0.050537109375, y: 0.0614013671875, z: -1.2123565673828125
acceleration - x: 0.005950927734375, y: -0.0036773681640625, z: -1.1121063232421875
acceleration - x: 0.055938720703125, y: 0.079803466796875, z: -1.121307373046875
acceleration - x: 0.032623291015625, y: 0.153961181640625, z: -1.2052764892578125
acceleration - x: -0.003387451171875, y: 0.158538818359375, z: -1.2263946533203125
acceleration - x: -0.0112457275390625, y: 0.202606201171875, z: -1.1988677978515625
acceleration - x: -0.074310302734375, y: 0.25048828125, z: -1.14971923828125
acceleration - x: -0.070953369140625, y: 0.228271484375, z: -1.1284942626953125
acceleration - x: -0.0807342529296875, y: 0.2200927734375, z: -1.206939697265625
acceleration - x: -0.1423797607421875, y: 0.2385711669921875, z: -1.2060089111328125
acceleration - x: -0.174407958984375, y: 0.2425079345703125, z: -1.108795166015625
acceleration - x: -0.128753662109375, y: 0.259521484375, z: -1.0659942626953125
acceleration - x: -0.1272430419921875, y: 0.32952880859375, z: -0.9720001220703125
acceleration - x: -0.166229248046875, y: 0.4276275634765625, z: -0.9029541015625
acceleration - x: -0.2144775390625, y: 0.4449462890625, z: -0.86767578125
acceleration - x: -0.2501220703125, y: 0.4463348388671875, z: -0.8267669677734375
acceleration - x: -0.285247802734375, y: 0.484405517578125, z: -0.7920379638671875
acceleration - x: -0.33428955078125, y: 0.5360260009765625, z: -0.762481689453125
acceleration - x: -0.3796539306640625, y: 0.5466156005859375, z: -0.6678314208984375
acceleration - x: -0.411865234375, y: 0.4990997314453125, z: -0.55950927734375
acceleration - x: -0.46563720703125, y: 0.431549072265625, z: -0.4695281982421875
acceleration - x: -0.5166778564453125, y: 0.408416748046875, z: -0.407806396484375
acceleration - x: -0.566497802734375, y: 0.4212188720703125, z: -0.3045654296875
acceleration - x: -0.566497802734375, y: 0.4212188720703125, z: -0.3045654296875
acceleration - x: -0.6064453125, y: 0.354248046875, z: -0.2126312255859375
acceleration - x: -0.6991119384765625, y: 0.3184051513671875, z: -0.046539306640625
acceleration - x: -0.778076171875, y: 0.346282958984375, z: 0.0101776123046875
acceleration - x: -0.778076171875, y: 0.346282958984375, z: 0.0101776123046875
acceleration - x: -0.7728271484375, y: 0.330230712890625, z: 0.014617919921875
acceleration - x: -0.762359619140625, y: 0.268768310546875, z: 0.0793304443359375
acceleration - x: -0.80072021484375, y: 0.2256622314453125, z: 0.21392822265625
acceleration - x: -0.80072021484375, y: 0.2256622314453125, z: 0.21392822265625
acceleration - x: -0.819549560546875, y: 0.2672882080078125, z: 0.346405029296875
acceleration - x: -0.79339599609375, y: 0.1889801025390625, z: 0.3729705810546875
acceleration - x: -0.771087646484375, y: 0.0579681396484375, z: 0.472412109375
acceleration - x: -0.756439208984375, y: -0.0625457763671875, z: 0.5751953125
acceleration - x: -0.7612457275390625, y: -0.0766448974609375, z: 0.6858978271484375
acceleration - x: -0.792205810546875, y: -0.0289459228515625, z: 0.7062835693359375
acceleration - x: -0.8387603759765625, y: 0.01593017578125, z: 0.7311553955078125
acceleration - x: -0.8677825927734375, y: 0.025177001953125, z: 0.787322998046875
acceleration - x: -0.848846435546875, y: 0.0138092041015625, z: 0.7844390869140625
acceleration - x: -0.81500244140625, y: 0.007965087890625, z: 0.7949676513671875
acceleration - x: -0.8182830810546875, y: -0.0031280517578125, z: 0.8304595947265625
acceleration - x: -0.82550048828125, y: -0.0211334228515625, z: 0.8430938720703125
acceleration - x: -0.8004913330078125, y: -0.0058746337890625, z: 0.84100341796875
acceleration - x: -0.793182373046875, y: 0.001556396484375, z: 0.8135223388671875
acceleration - x: -0.805450439453125, y: 0.011474609375, z: 0.777008056640625
acceleration - x: -0.810028076171875, y: 0.0439300537109375, z: 0.7600250244140625
acceleration - x: -0.8213653564453125, y: 0.0655670166015625, z: 0.7269134521484375
acceleration - x: -0.8141632080078125, y: 0.0840301513671875, z: 0.7014923095703125
acceleration - x: -0.80828857421875, y: 0.11077880859375, z: 0.7030792236328125
acceleration - x: -0.8184814453125, y: 0.1262664794921875, z: 0.6738739013671875
acceleration - x: -0.8156280517578125, y: 0.131988525390625, z: 0.6300811767578125
acceleration - x: -0.7836456298828125, y: 0.136505126953125, z: 0.5964508056640625
acceleration - x: -0.7503204345703125, y: 0.1441650390625, z: 0.570587158203125
acceleration - x: -0.7434539794921875, y: 0.177093505859375, z: 0.5196685791015625
acceleration - x: -0.7356719970703125, y: 0.255035400390625, z: 0.3915557861328125
acceleration - x: -0.759796142578125, y: 0.3285980224609375, z: 0.3152008056640625
acceleration - x: -0.8272857666015625, y: 0.357696533203125, z: 0.3451995849609375
acceleration - x: -0.84246826171875, y: 0.31573486328125, z: 0.343597412109375
acceleration - x: -0.7818145751953125, y: 0.2491607666015625, z: 0.3075408935546875
acceleration - x: -0.708892822265625, y: 0.2668609619140625, z: 0.1568450927734375
acceleration - x: -0.7256011962890625, y: 0.379486083984375, z: 0.0370635986328125
acceleration - x: -0.8191375732421875, y: 0.524169921875, z: -0.0205841064453125
acceleration - x: -0.8143768310546875, y: 0.5879974365234375, z: 0.006683349609375
acceleration - x: -0.6852569580078125, y: 0.4283905029296875, z: 0.0916595458984375
